FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA
372, ,LCHQ_041, ,POINT,UNCLASSIFIED,GOLDMAN SACHS GROUP INCORPORATED,212,902-1000,85 BROAD STREET, ,NEW YORK,NY,10004,2434,NEW YORK,36061,"E SIDE OF BROAD ST BETWEEN S WILLIAM ST AND PEARL ST, ACROSS FROM STONE ST", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21638114,TGS,-74.01122,40.703993,NAVTEQ,2006Q3,ONENTITY,YES,TGS
373, ,LCHQ_088, ,POINT,UNCLASSIFIED,HESS CORPORATION,212,997-8500,1185 AVENUE OF THE AMERICAS, ,NEW YORK,NY,10036,2601,NEW YORK,36061,LOCATED ON THE NORTHWEST SIDE OF 6TH AVENUE BETWEEN WEST 46TH STREET AND WEST 47TH STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21548611,TGS,-73.98238,40.757821,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
374, ,LCHQ_238, ,POINT,UNCLASSIFIED,CUMMINS INCORPORATED,812,377-5000,500 JACKSON STREET, ,COLUMBUS,IN,47201,6258,BARTHOLOMEW,18005,.06 MILES NORTH OF 5TH STREET ON THE WEST SIDE OF JACKSON STREET, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,103378068,TGS,-85.923152,39.204252,NAVTEQ,2006Q3,ONENTITY,YES,TGS
375, ,LCHQ_018, ,POINT,UNCLASSIFIED,VERIZON COMMUNICATIONS INCORPORATED,212,395-1000,140 WEST STREET, ,NEW YORK,NY,10007,2109,NEW YORK,36061,LOCATED ON E SIDE OF WEST ST BETWEEN BARCLAY ST AND VESEY ST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,119939866,TGS,-74.013155,40.713879,NAVTEQ,2006Q3,ONENTITY,YES,TGS
376, ,LCHQ_362, ,POINT,UNCLASSIFIED,SAKS INCORPORATED,205,940-4000,750 LAKESHORE PARKWAY, ,BIRMINGHAM,AL,35211,4400,JEFFERSON,01073,.43 MILES SOUTHWEST OF WEST OXMOOR ROAD ON THE NORTH SIDE OF LAKESHORE PARKWAY, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,111689352,TGS,-86.849838,33.440224,NAVTEQ,2006Q3,ONENTITY,YES,TGS
377, ,LCHQ_209, ,POINT,UNCLASSIFIED,ARROW ELECTRONICS INCORPORATED,631,847-2000,50 MARCUS DRIVE, ,MELVILLE,NY,11747,4210,SUFFOLK,36103,"S SIDE OF MARCUS DR, 0.16MI E OF REPUBLIC RD", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21669064,TGS,-73.412143,40.75713,NAVTEQ,2006Q3,ONENTITY,YES,TGS
378, ,LCHQ_263, ,POINT,UNCLASSIFIED,YRC WORLDWIDE INCORPORATED,913,696-6100,10990 ROE AVENUE, ,OVERLAND PARK,KS,66211,1213,JOHNSON,20091,"LOCATED ON WEST SIDE OF ROE AVENUE, 0.09 MILE NORTH OF W 110TH STREET.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,25060748,TGS,-94.640049,38.93014,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
379, ,LCHQ_445, ,POINT,UNCLASSIFIED,HENRY SCHEIN INCORPORATED,631,843-5500,135 DURYEA ROAD, ,MELVILLE,NY,11747,3834,SUFFOLK,36103,NE CORNER OF DURYEA RD AND MAXESS RD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21672881,TGS,-73.414442,40.768486,NAVTEQ,2006Q3,ONENTITY,YES,TGS
380, ,LCHQ_282, ,POINT,UNCLASSIFIED,AIR PRODUCTS AND CHEMICALS INCORPORATED,610,481-4911,7201 HAMILTON BOULEVARD, ,ALLENTOWN,PA,18195,1526,LEHIGH,42077,LOCATED 0.33 MILE EAST FROM THE INTERSECTION OF TREXLERTOWN ROAD AND HAMILTON BOULEVARD ON THE NORTH SIDE OF HAMILTON BOULEVARD, , , ,2006-12-15T00:00:00.000Z,PHONE,2006-12-18T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,110457481,TGS,-75.601304,40.551825,NAVTEQ,2006Q3,ONENTITY,YES,TGS
381, ,LCHQ_323, ,POINT,UNCLASSIFIED,AMERICAN FAMILY INSURANCE GROUP,608,249-2111,6000 AMERICAN PARKWAY, ,MADISON,WI,53718, ,DANE,55025,LOCATED ON THE WEST SIDE OF AMERICAN PARKWAY. TRAVEL WEST OFF OF AMERICAN PARKWAY .10 MILE ON AMERICAN FAMILY DRIVE AND TURN NORTH INTO PARKING AREA., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,88038865,TGS,-89.288104,43.156754,NAVTEQ,2006Q3,ONENTITY,YES,TGS
382, ,LCHQ_447, ,POINT,UNCLASSIFIED,SCANA CORPORATION,803,217-9000,1426 MAIN STREET, ,COLUMBIA,SC,29201,5804,RICHLAND,45079,"NORTHEAST SIDE OF MAIN ST, BETWEEN HAMPTON ST AND WASHINGTON ST", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,102244857,TGS,-81.034683,34.004819,NAVTEQ,2006Q3,ONENTITY,YES,TGS
383, ,LCHQ_277, ,POINT,UNCLASSIFIED,LIBERTY MEDIA CORPORATION,720,875-5400,12300 LIBERTY BLVD, ,ENGLEWOOD,CO,80112,7009,DOUGLAS,08035,APPROXIMATELY .50 MILE WEST OF THE INTERSECTION OF SOUTH PEORIA STREET AND LIBERTY BOULEVARD. ON THE EAST SIDE OF LIBERTY BOULEVARD., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,112265908,TGS,-104.845615,39.55314,NAVTEQ,2006Q3,ONENTITY, ,TGS
384, ,LCHQ_164, ,POINT,UNCLASSIFIED,UNION PACIFIC RAILROAD CORPORATE HEADQUARTERS,402,544-5000,1400 DOUGLAS STREET, ,OMAHA,NE,68179,0001,DOUGLAS,31055,LOCATED ON NORTH SIDE OF DOUGLAS STREET BETWEEN SOUTH 14TH STREET AND SOUTH 15TH STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,42282215,TGS,-95.935189,41.259145,NAVTEQ,2006Q3,ONENTITY,YES,TGS
385, ,LCHQ_035, ,POINT,UNCLASSIFIED,METROPOLITAN LIFE INSURANCE COMPANY,212,578-2211,27-01 QUEENS PLAZA NORTH, ,LONG ISLAND CITY,NY,11101,4007,QUEENS,36081,NE SIDE OF QUEENS PLZ BETWEEN 27TH ST AND 28TH ST, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21551311,TGS,-73.938766,40.750714,NAVTEQ,2006Q3,ONENTITY,YES,TGS
386, ,LCHQ_202, ,POINT,UNCLASSIFIED,BEAR STEARNS AND COMPANY INCORPORATED,212,272-2000,383 MADISON AVENUE, ,NEW YORK,NY,10179,0001,NEW YORK,36061,"LOCATED ON THE SOUTHEAST SIDE OF MADISON AVENUE, BETWEEN EAST 46TH STREET AND EAST 47TH STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21547832,TGS,-73.976846,40.755539,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
387, ,LCHQ_257, ,POINT,UNCLASSIFIED,YUM BRANDS INCORPORATED,502,874-8300,1441 GARDINER LANE, ,LOUISVILLE,KY,40213,1914,JEFFERSON,21111,.13 MILES NORTHEAST OF COLONEL SANDERS LANE ON THE NORTHWEST SIDE OF GARDINER LANE, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,38683380,TGS,-85.695704,38.198035,NAVTEQ,2006Q3,ONENTITY,YES,TGS
388, ,LCHQ_498, ,POINT,UNCLASSIFIED,KINDRED HEALTHCARE INCORPORATED,502,596-7300,680 SOUTH 4TH STREET, ,LOUISVILLE,KY,40202,2407,JEFFERSON,21111,ON THE NORTHEAST CORNER OF SOUTH 5TH STREET AND WEST BROADWAY, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,125262229,TGS,-85.759153,38.246596,NAVTEQ,2006Q3,ONENTITY,YES,TGS
389, ,LCHQ_143, ,POINT,UNCLASSIFIED,CONAGRA FOODS INCORPORATED,402,595-4000,1 CONAGRA DRIVE, ,OMAHA,NE,68102,5003,DOUGLAS,31055,LOCATED ON NORTHEAST SIDE OF CONAGRA DRIVE ABOUT .11 MILES SOUTHEAST OF FARNAM STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,42282708,TGS,-95.926999,41.256381,NAVTEQ,2006Q3,ONENTITY,YES,TGS
390, ,LCHQ_219, ,POINT,UNCLASSIFIED,DEVON ENERGY CORPORATION,405,235-3611,20 NORTH BROADWAY AVENUE, ,OKLAHOMA CITY,OK,73102,8202,OKLAHOMA,40109,ENTITY IS LOCATED ON THE SOUTHEAST CORNER OF WEST MAIN STREET AND NORTH BROADWAY AVENUE, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,30433497,TGS,-97.51406,35.46734,NAVTEQ,2006Q3,ONENTITY,YES,TGS
391, ,LCHQ_320, ,POINT,UNCLASSIFIED,KERR-MCGEE - DIVISION OF ANADARKO PETROLEUM COMPANY,405,270-1313,123 ROBERT S KERR AVENUE, ,OKLAHOMA CITY,OK,73102,6406,OKLAHOMA,40109,ENTITY IS LOCATED ON THE NORTH SIDE OF ROBERT S KERR AVENUE BETWEEN NORTH ROBINSON AVENUE AND NORTH BROADWAY AVENUE, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,30432983,TGS,-97.51532,35.470399,NAVTEQ,2006Q3,ONENTITY,YES,TGS
392, ,LCHQ_358, ,POINT,UNCLASSIFIED,OKLAHOMA GAS AND ELECTRIC COMPANY ENERGY CORPORATION,405,553-3000,321 NORTH HARVEY AVENUE, ,OKLAHOMA CITY,OK,73102,3405,OKLAHOMA,40109,ENTITY IS LOCATED ON THE WEST SIDE OF NORTH HARVEY AVENUE BETWEEN ROBERT S KERR AVENUE AND DEAN A MCGEE AVENUE, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,30432969,TGS,-97.518274,35.470302,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
393, ,LCHQ_289, ,POINT,UNCLASSIFIED,NISOURCE INCORPORATED,219,647-5990,801 EAST 86TH AVENUE, ,MERRILLVILLE,IN,46410,6271,LAKE,18089,.12 MILES SOUTH OF EAST 84TH AVENUE ON THE SOUTHEAST SIDE OF EAST 86TH AVENUE, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20046249,TGS,-87.325812,41.463665,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
394, ,LCHQ_355, ,POINT,UNCLASSIFIED,TEREX CORPORATION,203,222-7170,500 POST ROAD EAST, ,WESTPORT,CT,06880,4431,FAIRFIELD,09001,SOUTH SIDE OF POST RD E APROX .09 MILES EAST OF E MAIN ST, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21642061,TGS,-73.348231,41.139487,NAVTEQ,2006Q3,ONENTITY,YES,TGS
395, ,LCHQ_269, ,POINT,UNCLASSIFIED,TRANSMONTAIGNE INCORPORATED,303,626-8200,1670 BROADWAY, ,DENVER,CO,80202,4801,DENVER,08031,EAST SIDE OF BROADWAY. BETWEEN EAST 16TH AVENUE AND EAST 17TH AVENUE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20716599,TGS,-104.987008,39.742587,NAVTEQ,2006Q3,ONENTITY,YES,TGS
396, ,LCHQ_252, ,POINT,UNCLASSIFIED,CLEAR CHANNEL COMMUNICATIONS,210,822-2828,200 EAST BASSE ROAD, ,SAN ANTONIO,TX,78209,8328,BEXAR,48029,EAST SIDE OF EAST BASSE ROAD APPROXIMATELY .05 MILES NORTH FROM THE INTERSECTION OF FORESTSHIRE AND EAST BASSE ROAD., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18190728,TGS,-98.479158,29.492557,NAVTEQ,2006Q3,ONENTITY,YES,TGS
397, ,LCHQ_461, ,POINT,UNCLASSIFIED,NEWMONT MINING CORPORATION,303,863-7414,1700 LINCOLN STREET,WELLS FARGO BUILDING,DENVER,CO,80203, ,DENVER,08031,EAST SIDE OF LINCOLN STREET. BETWEEN EAST 17TH AVENUE AND EAST 18TH AVENUE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20716593,TGS,-104.9855,39.743397,NAVTEQ,2006Q3,ONENTITY,YES,TGS
398, ,LCHQ_160, ,POINT,UNCLASSIFIED,QWEST COMMUNICATIONS INTERNATIONAL INCORPORATED,303,992-1400,1801 CALIFORNIA STREET, ,DENVER,CO,80202,2658,DENVER,08031,NORTHWEST SIDE OF CALIFORNIA STREET. BETWEEN 18TH STREET AND 19TH STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20716579,TGS,-104.989801,39.747585,NAVTEQ,2006Q3,ONENTITY,YES,TGS
399, ,LCHQ_393, ,POINT,UNCLASSIFIED,AVERY DENNISON,626,304-2000,150 NORTH ORANGE GROVE BOULEVARD, ,PASADENA,CA,91103,3534,LOS ANGELES,06037,APPROXIMATELY .05 MILE NORTHWEST OF WEST HOLLY STREET TURN EAST ONTO N ORANGE GROVE BLVD/KENSINGTON PL. ENTITY IS LOCATED ON THE NORTH SIDE OF N ORANGE GROVE BLVD/ KENSINGTON PL., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24019975,TGS,-118.161298,34.148448,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
400, ,LCHQ_178, ,POINT,UNCLASSIFIED,PUBLIC SERVICE ENTERPRISE GROUP,973,430-7000,80 PARK PLACE, ,NEWARK,NJ,07102,5502,ESSEX,34013,LOCATED ON THE EAST SIDE OF PARK PLAZA BETWEEN RAYMOND BOULEVARD AND EAST PARK STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21804906,TGS,-74.168727,40.737544,NAVTEQ,2006Q3,ONENTITY,YES,TGS
401, ,LCHQ_188, ,POINT,UNCLASSIFIED,CENEX HARVEST STATES,651,355-6000,5500 CENEX DRIVE, ,INVER GROVE HEIGHTS,MN,55077,1733,DAKOTA,27037,ABOUT .14 MILES EAST OF BABCOCK TRL E ON THE NORTH SIDE OF CENEX DR., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20699435,TGS,-93.062787,44.869499,NAVTEQ,2006Q3,ONENTITY,YES,TGS
402, ,LCHQ_064, ,POINT,UNCLASSIFIED,PRUDENTIAL FINANCIAL INCORPORATED,973,802-3654,751 BROAD STREET, ,NEWARK,NJ,07102,3714,ESSEX,34013,LOCATED ON THE NORTH SIDE OF BANK STREET AND BROAD STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,119989501,TGS,-74.171791,40.736908,NAVTEQ,2006Q3,ONENTITY,YES,TGS
403, ,LCHQ_115, ,POINT,UNCLASSIFIED,AUTONATION,954,769-6000,110 SOUTHEAST SIXTH STREET, ,FORT LAUDERDALE,FL,33301,5000,BROWARD,12011,"LOCATED ON THE SOUTH SIDE OF SOUTHEAST SIXTH STREET, BETWEEN SOUTHEAST 1ST AVENUE AND SOUTHEAST 3RD AVENUE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22475627,TGS,-80.141802,26.114492,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
404, ,LCHQ_271, ,POINT,UNCLASSIFIED,AUTOMATIC DATA PROCESSING INCORPORATED,973,974-5000,1 ADP BOULEVARD, ,ROSELAND,NJ,07068,1728,ESSEX,34013,LOCATED ON THE SOUTH SIDE OF THE INTERSECTION OF ADP BOULEVARD AND BECKER FARM ROAD., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21763576,TGS,-74.302854,40.816573,NAVTEQ,2006Q3,ONENTITY,YES,TGS
405, ,LCHQ_357, ,POINT,UNCLASSIFIED,NCR CORPORATION,937,445-5000,1700 SOUTH PATTERSON BOULEVARD, ,DAYTON,OH,45479,0001,MONTGOMERY,39113,LOCATED ON THE SOUTHEAST SIDE OF THE T INTERSECTION OF CARRILLON BOULEVARD AND SOUTH PATERSON BOULEVARD., , , ,2006-12-15T00:00:00.000Z,PHONE,2006-12-15T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,46803093,TGS,-84.193544,39.730379,NAVTEQ,2006Q3,ONENTITY,YES,TGS
406, ,LCHQ_383, ,POINT,UNCLASSIFIED,FOOT LOCKER INCORPORATED,212,720-3700,112 WEST 34TH STREET, ,NEW YORK,NY,10120,0101,NEW YORK,36061,"LOCATED ON THE SOUTHWEST SIDE OF WEST 34TH STREET, BETWEEN 6TH AVENUE AND 7TH AVENUE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,119967763,TGS,-73.988825,40.749899,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
407, ,LCHQ_069, ,POINT,UNCLASSIFIED,AMERICAN EXPRESS COMPANY,212,640-2000,200 VESEY STREET, ,NEW YORK,NY,10285,1000,NEW YORK,36061,SW SIDE OF VESEY ST BETWEEN N END AVE AND WEST ST, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21638710,TGS,-74.014435,40.71364,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
408, ,LCHQ_034, ,POINT,UNCLASSIFIED,MERRILL LYNCH AND COMPANY INCORPORATED,212,449-1000,4 WORLD FINANCIAL CENTER, ,NEW YORK,NY,10080,0001,NEW YORK,36061,S CORNER OF N END AVE AND WORLD FINANCIAL CENTER, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21638710,TGS,-74.015966,40.714132,NAVTEQ,2006Q3,ONENTITY,YES,TGS
409, ,LCHQ_410, ,POINT,UNCLASSIFIED,NVR INCORPORATED,703,956-4000,11700 PLAZA AMERICA DRIVE,SUITE 500,RESTON,VA,20190,4751,FAIRFAX,51059,ENTITY IS LOCATED ON THE EAST SIDE OF PLAZA AMERICAN DRIVE .05 MILE SOUTHWEST FROM PLAZA AMERICA BOULEVARD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18631878,TGS,-77.350217,38.952658,NAVTEQ,2006Q3,ONENTITY,YES,TGS
410, ,LCHQ_059, ,POINT,UNCLASSIFIED,SPRINT NEXTEL CORPORATION,703,433-4000,2001 EDMUND HALLEY DRIVE, ,RESTON,VA,20191,3436,FAIRFAX,51059,ENTITY IS LOCATED ON THE EAST SIDE OF EDMUND HALLEY DRIVE ABOUT .14 MILE NORTHEAST FROM SUNRISE VALLEY DRIVE, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18396922,TGS,-77.362034,38.94986,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
411, ,LCHQ_331, ,POINT,UNCLASSIFIED,SALLIE MAE INCORPORATED,703,810-3000,12061 BLUEMONT WAY, ,RESTON,VA,20190,5684,FAIRFAX,51059,ENTITY IS LOCATED ON THE SOUTH SIDE OF BLUEMONT WAY BETWEEN SAINT FRANCIS STREET AND EXPLORER STREET, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,128081884,TGS,-77.361092,38.956851,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
412, ,LCHQ_500, ,POINT,UNCLASSIFIED,LANDAMERICA FINANCIAL GROUP INCORPORATED,804,267-8000,5600 COX ROAD, ,GLENALLEN,VA,23060,9266,HENRICO,51087,ENTITY IS LOCATED ON THE NORTHWEST SIDE OF COX ROAD ABOUT .4 MILE NORTH FROM NORTH PARK DRIVE, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24743813,TGS,-77.567489,37.672376,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
413, ,LCHQ_342, ,POINT,UNCLASSIFIED,DOVER CORPORATION,212,922-1640,280 PARK AVENUE, ,NEW YORK,NY,10017,1216,NEW YORK,36061,"LOCATED ON THE NORTHWEST SIDE OF PARK AVENUE, BETWEEN EAST 48TH STREET AND EAST 49TH STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21549744,TGS,-73.975138,40.75637,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
414, ,LCHQ_443, ,POINT,UNCLASSIFIED,OWENS AND MINOR - HEADQUARTERS,804,747-9794,9120 LOCKWOOD BOULEVARD, ,MECHANICSVILLE,VA,23116, ,HANOVER,51085,"LOCATED ON THE SOUTH SIDE OF LOCKWOOD BOULEVARD, .14 MILE WEST OF THE INTERSECTION OF BREEZEWOOD AVENUE AND LOCKWOOD BOULEVARD.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES, ,TGS,-77.408692,37.644163,NAVTEQ,2006Q3,ONENTITY,YES,TGS
